protein1,protein2,combined_score,protein1_original_name,protein2_original_name
9606.ENSP00000000412,9606.ENSP00000371308,208,M6PR,CENPJ
9606.ENSP00000001008,9606.ENSP00000448012,292,FKBP4,CEP290
9606.ENSP00000001146,9606.ENSP00000267113,163,CYP26B1,ESYT1
9606.ENSP00000003084,9606.ENSP00000420213,343,CFTR,FLNB
9606.ENSP00000003302,9606.ENSP00000365588,292,USP28,MDC1
9606.ENSP00000005178,9606.ENSP00000363435,787,PDK4,ITPR3
9606.ENSP00000005226,9606.ENSP00000493594,171,USH1C,MYH14
9606.ENSP00000005226,9606.ENSP00000495242,190,USH1C,MYO15B
9606.ENSP00000005226,9606.ENSP00000299441,158,USH1C,DCHS1
9606.ENSP00000005226,9606.ENSP00000265709,158,USH1C,ANK1
9606.ENSP00000005226,9606.ENSP00000386331,998,USH1C,MYO7A
9606.ENSP00000005257,9606.ENSP00000420213,714,RALA,FLNB
9606.ENSP00000005257,9606.ENSP00000263088,395,RALA,PLD2
9606.ENSP00000005257,9606.ENSP00000219476,292,RALA,TSC2
9606.ENSP00000005340,9606.ENSP00000374507,680,DVL2,CCDC88C
9606.ENSP00000005340,9606.ENSP00000336783,306,DVL2,TNRC6C
9606.ENSP00000005340,9606.ENSP00000257430,940,DVL2,APC
9606.ENSP00000005386,9606.ENSP00000293879,200,RPAP3,WDR90
9606.ENSP00000005386,9606.ENSP00000370196,212,RPAP3,SBF1
9606.ENSP00000005995,9606.ENSP00000293879,167,PRSS21,WDR90
9606.ENSP00000006053,9606.ENSP00000200181,236,CX3CL1,ITGB4
9606.ENSP00000009530,9606.ENSP00000216361,159,CD74,COCH
9606.ENSP00000009530,9606.ENSP00000381364,159,CD74,CABIN1
9606.ENSP00000009530,9606.ENSP00000382323,159,CD74,OTOG
9606.ENSP00000009530,9606.ENSP00000376543,159,CD74,TECTA
9606.ENSP00000011653,9606.ENSP00000453508,357,CD4,TLN2
9606.ENSP00000013807,9606.ENSP00000365588,439,ERCC1,MDC1
9606.ENSP00000013807,9606.ENSP00000313420,900,ERCC1,PRKDC
9606.ENSP00000013807,9606.ENSP00000234420,900,ERCC1,MSH6
9606.ENSP00000014914,9606.ENSP00000435389,292,GPRC5A,PLEKHA7
9606.ENSP00000016946,9606.ENSP00000397269,190,RGPD5,FAM136A
9606.ENSP00000020945,9606.ENSP00000384018,187,SNAI2,NCOR2
9606.ENSP00000023939,9606.ENSP00000420213,167,RTF2,FLNB
9606.ENSP00000023939,9606.ENSP00000435389,292,RTF2,PLEKHA7
9606.ENSP00000025008,9606.ENSP00000219476,604,RB1CC1,TSC2
9606.ENSP00000027335,9606.ENSP00000386331,222,CDH17,MYO7A
9606.ENSP00000027335,9606.ENSP00000299441,661,CDH17,DCHS1
9606.ENSP00000027335,9606.ENSP00000467537,347,CDH17,PTPRS
9606.ENSP00000027335,9606.ENSP00000257430,540,CDH17,APC
9606.ENSP00000027335,9606.ENSP00000435389,210,CDH17,PLEKHA7
9606.ENSP00000027335,9606.ENSP00000453508,258,CDH17,TLN2
9606.ENSP00000037243,9606.ENSP00000384164,156,GABARAPL2,KIF16B
9606.ENSP00000037243,9606.ENSP00000300231,471,GABARAPL2,MAP1A
9606.ENSP00000040738,9606.ENSP00000323588,292,BOD1L1,SOX2
9606.ENSP00000040738,9606.ENSP00000340820,292,BOD1L1,MAPT
9606.ENSP00000040738,9606.ENSP00000265295,540,BOD1L1,SPDL1
9606.ENSP00000040738,9606.ENSP00000365588,165,BOD1L1,MDC1
9606.ENSP00000040738,9606.ENSP00000300093,540,BOD1L1,PLK1
9606.ENSP00000040738,9606.ENSP00000235835,163,BOD1L1,AKR7A2
9606.ENSP00000040738,9606.ENSP00000340896,795,BOD1L1,ASH2L
9606.ENSP00000040738,9606.ENSP00000373565,163,BOD1L1,FAM83H
9606.ENSP00000040738,9606.ENSP00000361278,540,BOD1L1,DYDC1
9606.ENSP00000040738,9606.ENSP00000385451,509,BOD1L1,MDK
9606.ENSP00000040738,9606.ENSP00000425824,264,BOD1L1,CAMK2D
9606.ENSP00000040738,9606.ENSP00000301067,237,BOD1L1,KMT2D
9606.ENSP00000040738,9606.ENSP00000367203,319,BOD1L1,KDM6A
9606.ENSP00000040738,9606.ENSP00000263713,422,BOD1L1,EPB41L5
9606.ENSP00000040738,9606.ENSP00000264515,806,BOD1L1,RBBP5
9606.ENSP00000040738,9606.ENSP00000378356,292,BOD1L1,KIF20A
9606.ENSP00000040738,9606.ENSP00000319417,540,BOD1L1,SKA3
9606.ENSP00000040738,9606.ENSP00000316114,161,BOD1L1,SGF29
9606.ENSP00000040738,9606.ENSP00000355922,540,BOD1L1,CENPF
9606.ENSP00000040738,9606.ENSP00000345895,463,BOD1L1,NUP50
9606.ENSP00000040738,9606.ENSP00000333433,540,BOD1L1,SKA2
9606.ENSP00000040738,9606.ENSP00000309644,598,BOD1L1,BOD1
9606.ENSP00000040738,9606.ENSP00000261597,540,BOD1L1,NDC80
9606.ENSP00000040738,9606.ENSP00000262519,864,BOD1L1,SETD1A
9606.ENSP00000040738,9606.ENSP00000361512,167,BOD1L1,PRPS1
9606.ENSP00000040738,9606.ENSP00000446955,163,BOD1L1,MYL6
9606.ENSP00000040738,9606.ENSP00000343129,161,BOD1L1,TRIM29
9606.ENSP00000040738,9606.ENSP00000263377,292,BOD1L1,BRD4
9606.ENSP00000040738,9606.ENSP00000351446,760,BOD1L1,WDR5
9606.ENSP00000040738,9606.ENSP00000378328,192,BOD1L1,ANKRD13B
9606.ENSP00000040738,9606.ENSP00000377245,163,BOD1L1,KEAP1
9606.ENSP00000040738,9606.ENSP00000326550,161,BOD1L1,TACC3
9606.ENSP00000040738,9606.ENSP00000296490,540,BOD1L1,WDR82
9606.ENSP00000040738,9606.ENSP00000384048,241,BOD1L1,PAXIP1
9606.ENSP00000040738,9606.ENSP00000474253,671,BOD1L1,SETD1B
9606.ENSP00000040738,9606.ENSP00000363929,237,BOD1L1,NCOA6
9606.ENSP00000040738,9606.ENSP00000343273,163,BOD1L1,KLHL7
9606.ENSP00000040738,9606.ENSP00000498083,163,BOD1L1,MKNK1
9606.ENSP00000040738,9606.ENSP00000435389,292,BOD1L1,PLEKHA7
9606.ENSP00000040738,9606.ENSP00000415430,163,BOD1L1,GTSE1
9606.ENSP00000040738,9606.ENSP00000309555,671,BOD1L1,HCFC1
9606.ENSP00000040738,9606.ENSP00000313983,292,BOD1L1,NSD3
9606.ENSP00000040738,9606.ENSP00000262189,241,BOD1L1,KMT2C
9606.ENSP00000040738,9606.ENSP00000376457,292,BOD1L1,ECT2
9606.ENSP00000040738,9606.ENSP00000480680,198,BOD1L1,SEMA3B
9606.ENSP00000040738,9606.ENSP00000361562,161,BOD1L1,CTSA
9606.ENSP00000040738,9606.ENSP00000221419,292,BOD1L1,HNRNPL
9606.ENSP00000040738,9606.ENSP00000357858,239,BOD1L1,BUB3
9606.ENSP00000040738,9606.ENSP00000467843,540,BOD1L1,BOD1L2
9606.ENSP00000040738,9606.ENSP00000297591,292,BOD1L1,VIRMA
9606.ENSP00000040738,9606.ENSP00000398837,319,BOD1L1,KMT2B
9606.ENSP00000040738,9606.ENSP00000385808,161,BOD1L1,KIF3A
9606.ENSP00000040738,9606.ENSP00000320096,183,BOD1L1,ZNF784
9606.ENSP00000040738,9606.ENSP00000364289,163,BOD1L1,NCBP1
9606.ENSP00000040738,9606.ENSP00000390475,838,BOD1L1,CXXC1
9606.ENSP00000040738,9606.ENSP00000230640,175,BOD1L1,MTREX
9606.ENSP00000040738,9606.ENSP00000265748,292,BOD1L1,ANLN
9606.ENSP00000040738,9606.ENSP00000399982,161,BOD1L1,TAF6
9606.ENSP00000040738,9606.ENSP00000287598,540,BOD1L1,BUB1B
9606.ENSP00000040738,9606.ENSP00000330381,540,BOD1L1,WDR5B
9606.ENSP00000040738,9606.ENSP00000463982,292,BOD1L1,YTHDC1
9606.ENSP00000040738,9606.ENSP00000436786,317,BOD1L1,KMT2A
9606.ENSP00000040738,9606.ENSP00000337088,306,BOD1L1,MEN1
9606.ENSP00000040738,9606.ENSP00000361272,540,BOD1L1,DYDC2
9606.ENSP00000040738,9606.ENSP00000256442,540,BOD1L1,CCNB1
9606.ENSP00000040738,9606.ENSP00000405965,292,BOD1L1,SUMO2
9606.ENSP00000040738,9606.ENSP00000345837,540,BOD1L1,DPY30
9606.ENSP00000040738,9606.ENSP00000328287,292,BOD1L1,RNF123
9606.ENSP00000040738,9606.ENSP00000438483,163,BOD1L1,KPNA2
9606.ENSP00000040738,9606.ENSP00000229330,765,BOD1L1,HCFC2
9606.ENSP00000040738,9606.ENSP00000419901,183,BOD1L1,L1TD1
9606.ENSP00000040738,9606.ENSP00000369497,361,BOD1L1,BRCA2
9606.ENSP00000040738,9606.ENSP00000265462,163,BOD1L1,PRDX5
9606.ENSP00000040738,9606.ENSP00000367024,165,BOD1L1,NAA40
9606.ENSP00000040738,9606.ENSP00000285116,540,BOD1L1,SKA1
9606.ENSP00000043402,9606.ENSP00000467537,171,RTN4R,PTPRS
9606.ENSP00000044462,9606.ENSP00000260197,319,PSMA4,SORL1
9606.ENSP00000052754,9606.ENSP00000356791,361,DCN,DPT
9606.ENSP00000052754,9606.ENSP00000264187,217,DCN,NID1
9606.ENSP00000053468,9606.ENSP00000376543,158,MRPS10,TECTA
9606.ENSP00000053468,9606.ENSP00000382323,158,MRPS10,OTOG
9606.ENSP00000053468,9606.ENSP00000216361,158,MRPS10,COCH
9606.ENSP00000053468,9606.ENSP00000381364,158,MRPS10,CABIN1
9606.ENSP00000053469,9606.ENSP00000471457,158,GUCA1A,MYO9B
9606.ENSP00000053469,9606.ENSP00000293879,248,GUCA1A,WDR90
9606.ENSP00000053867,9606.ENSP00000384018,342,GRN,NCOR2
9606.ENSP00000054950,9606.ENSP00000435389,292,RCN1,PLEKHA7
9606.ENSP00000055077,9606.ENSP00000313420,206,RFC2,PRKDC
9606.ENSP00000056217,9606.ENSP00000470152,414,ARHGEF5,DTNA
9606.ENSP00000070846,9606.ENSP00000257430,163,PKP2,APC
9606.ENSP00000072869,9606.ENSP00000267113,396,ADCK2,ESYT1
9606.ENSP00000075120,9606.ENSP00000435389,292,SLC2A3,PLEKHA7
9606.ENSP00000078429,9606.ENSP00000435389,292,GNA11,PLEKHA7
9606.ENSP00000080059,9606.ENSP00000384018,746,HDAC7,NCOR2
9606.ENSP00000083182,9606.ENSP00000394888,224,APPBP2,DOCK8
9606.ENSP00000083182,9606.ENSP00000293879,200,APPBP2,WDR90
9606.ENSP00000083182,9606.ENSP00000359603,240,APPBP2,COL24A1
9606.ENSP00000156471,9606.ENSP00000359454,221,AQR,HFM1
9606.ENSP00000157812,9606.ENSP00000254846,292,PSMC4,KDM6B
9606.ENSP00000158009,9606.ENSP00000367888,165,FNDC8,LRP4
9606.ENSP00000158771,9606.ENSP00000267113,692,DERL2,ESYT1
9606.ENSP00000159111,9606.ENSP00000365588,499,KDM4B,MDC1
9606.ENSP00000160382,9606.ENSP00000420213,153,ACTL6B,FLNB
9606.ENSP00000160382,9606.ENSP00000377275,165,ACTL6B,GOLGB1
9606.ENSP00000160827,9606.ENSP00000384164,540,KIF22,KIF16B
9606.ENSP00000160827,9606.ENSP00000263934,540,KIF22,KIF1B
9606.ENSP00000160827,9606.ENSP00000371308,155,KIF22,CENPJ
9606.ENSP00000161006,9606.ENSP00000260197,161,PRSS22,SORL1
9606.ENSP00000161006,9606.ENSP00000293879,167,PRSS22,WDR90
9606.ENSP00000162749,9606.ENSP00000385995,209,TNFRSF1A,THADA
9606.ENSP00000162749,9606.ENSP00000313420,163,TNFRSF1A,PRKDC
9606.ENSP00000162749,9606.ENSP00000496129,292,TNFRSF1A,PRKCB
9606.ENSP00000162749,9606.ENSP00000269848,163,TNFRSF1A,PFKL
9606.ENSP00000164133,9606.ENSP00000257430,499,PPP2R5B,APC
9606.ENSP00000164227,9606.ENSP00000376543,313,BCL3,TECTA
9606.ENSP00000167586,9606.ENSP00000257430,161,KRT14,APC
9606.ENSP00000170447,9606.ENSP00000257430,190,MKRN2,APC
9606.ENSP00000170447,9606.ENSP00000448012,193,MKRN2,CEP290
9606.ENSP00000170447,9606.ENSP00000390436,193,MKRN2,GLI2
9606.ENSP00000170447,9606.ENSP00000267622,212,MKRN2,TRIP11
9606.ENSP00000170447,9606.ENSP00000336783,163,MKRN2,TNRC6C
9606.ENSP00000170447,9606.ENSP00000284136,193,MKRN2,SEMA3D
9606.ENSP00000170447,9606.ENSP00000222399,193,MKRN2,LAMB1
9606.ENSP00000170447,9606.ENSP00000424226,193,MKRN2,TENM3
9606.ENSP00000170447,9606.ENSP00000386331,193,MKRN2,MYO7A
9606.ENSP00000175238,9606.ENSP00000346643,161,ADAM7,HKDC1
9606.ENSP00000176183,9606.ENSP00000313420,165,DRD4,PRKDC
9606.ENSP00000177694,9606.ENSP00000254846,889,TBX21,KDM6B
9606.ENSP00000177742,9606.ENSP00000293879,187,MRPS34,WDR90
9606.ENSP00000179259,9606.ENSP00000219476,225,TIGAR,TSC2
9606.ENSP00000179259,9606.ENSP00000346643,224,TIGAR,HKDC1
9606.ENSP00000180166,9606.ENSP00000385995,433,FGF20,THADA
9606.ENSP00000182290,9606.ENSP00000200181,360,TSPAN32,ITGB4
9606.ENSP00000185206,9606.ENSP00000386331,800,CLIC5,MYO7A
9606.ENSP00000194214,9606.ENSP00000296266,568,HSPB11,IFT122
9606.ENSP00000194214,9606.ENSP00000254846,189,HSPB11,KDM6B
9606.ENSP00000196061,9606.ENSP00000363840,499,PLOD1,COL11A2
9606.ENSP00000196061,9606.ENSP00000359603,499,PLOD1,COL24A1
9606.ENSP00000196061,9606.ENSP00000379866,569,PLOD1,COL4A4
9606.ENSP00000196061,9606.ENSP00000263934,201,PLOD1,KIF1B
9606.ENSP00000199280,9606.ENSP00000471457,170,AQP2,MYO9B
9606.ENSP00000199447,9606.ENSP00000254579,637,NME8,DNHD1
9606.ENSP00000199447,9606.ENSP00000383737,496,NME8,DNAH14
9606.ENSP00000199447,9606.ENSP00000293879,204,NME8,WDR90
9606.ENSP00000199447,9606.ENSP00000374045,496,NME8,DNAH6
9606.ENSP00000199814,9606.ENSP00000359454,321,RBM22,HFM1
9606.ENSP00000199936,9606.ENSP00000350032,278,HSD17B2,FRMD4A
9606.ENSP00000200181,9606.ENSP00000264039,292,ITGB4,GPC1
9606.ENSP00000200181,9606.ENSP00000370395,195,ITGB4,SGTB
9606.ENSP00000200181,9606.ENSP00000400365,499,ITGB4,LAMA2
9606.ENSP00000200181,9606.ENSP00000343952,218,ITGB4,CCR6
9606.ENSP00000200181,9606.ENSP00000265138,292,ITGB4,ARRDC3
9606.ENSP00000200181,9606.ENSP00000358866,855,ITGB4,FLNA
9606.ENSP00000200181,9606.ENSP00000313199,163,ITGB4,HNRNPD
9606.ENSP00000200181,9606.ENSP00000360266,256,ITGB4,JUN
9606.ENSP00000200181,9606.ENSP00000296181,785,ITGB4,ITGB5
9606.ENSP00000200181,9606.ENSP00000386896,999,ITGB4,ITGA6
9606.ENSP00000200181,9606.ENSP00000365006,292,ITGB4,S1PR3
9606.ENSP00000200181,9606.ENSP00000396198,153,ITGB4,FGF13
9606.ENSP00000200181,9606.ENSP00000324532,499,ITGB4,LAMA3
9606.ENSP00000200181,9606.ENSP00000358045,537,ITGB4,ECM1
9606.ENSP00000200181,9606.ENSP00000498321,339,ITGB4,MYD88
9606.ENSP00000200181,9606.ENSP00000454623,734,ITGB4,ITGAX
9606.ENSP00000200181,9606.ENSP00000357894,163,ITGB4,FAM24B
9606.ENSP00000200181,9606.ENSP00000362817,201,ITGB4,FABP3
9606.ENSP00000200181,9606.ENSP00000357087,426,ITGB4,DUSP23
9606.ENSP00000200181,9606.ENSP00000211998,218,ITGB4,VCL
9606.ENSP00000200181,9606.ENSP00000375810,161,ITGB4,KLC3
9606.ENSP00000200181,9606.ENSP00000267984,252,ITGB4,TLNRD1
9606.ENSP00000200181,9606.ENSP00000263431,651,ITGB4,PRKCG
9606.ENSP00000200181,9606.ENSP00000338934,331,ITGB4,EZR
9606.ENSP00000200181,9606.ENSP00000358310,734,ITGB4,ITGA10
9606.ENSP00000200181,9606.ENSP00000453508,727,ITGB4,TLN2
9606.ENSP00000200181,9606.ENSP00000296585,737,ITGB4,ITGA2
9606.ENSP00000200181,9606.ENSP00000245932,650,ITGB4,VASP
9606.ENSP00000200181,9606.ENSP00000452786,762,ITGB4,ITGB3
9606.ENSP00000200181,9606.ENSP00000316152,718,ITGB4,SFTPC
9606.ENSP00000200181,9606.ENSP00000452347,186,ITGB4,H0YJW9_HUMAN
9606.ENSP00000200181,9606.ENSP00000182290,360,ITGB4,TSPAN32
9606.ENSP00000200181,9606.ENSP00000324101,809,ITGB4,CD151
9606.ENSP00000200181,9606.ENSP00000364898,159,ITGB4,SYK
9606.ENSP00000200181,9606.ENSP00000262407,748,ITGB4,ITGA2B
9606.ENSP00000200181,9606.ENSP00000426632,548,ITGB4,ERBIN
9606.ENSP00000200181,9606.ENSP00000274545,353,ITGB4,GABRA6
9606.ENSP00000200181,9606.ENSP00000260356,271,ITGB4,THBS1
9606.ENSP00000200181,9606.ENSP00000379350,823,ITGB4,ITGB1
9606.ENSP00000200181,9606.ENSP00000371036,161,ITGB4,SIRPD
9606.ENSP00000200181,9606.ENSP00000370989,436,ITGB4,CD274
9606.ENSP00000200181,9606.ENSP00000344468,292,ITGB4,SDC3
9606.ENSP00000200181,9606.ENSP00000380227,758,ITGB4,ITGA4
9606.ENSP00000200181,9606.ENSP00000300935,410,ITGB4,RAB8A
9606.ENSP00000200181,9606.ENSP00000489597,190,ITGB4,PTPN11
9606.ENSP00000200181,9606.ENSP00000201031,229,ITGB4,TFAP2C
9606.ENSP00000200181,9606.ENSP00000222573,720,ITGB4,ITGB8
9606.ENSP00000200181,9606.ENSP00000261023,750,ITGB4,ITGAV
9606.ENSP00000200181,9606.ENSP00000366950,163,ITGB4,KRTAP9-2
9606.ENSP00000200181,9606.ENSP00000262160,161,ITGB4,SMAD2
9606.ENSP00000200181,9606.ENSP00000332973,161,ITGB4,SMAD3
9606.ENSP00000200181,9606.ENSP00000375778,558,ITGB4,LAMB3
9606.ENSP00000200181,9606.ENSP00000325978,292,ITGB4,LRRC31
9606.ENSP00000200181,9606.ENSP00000340373,292,ITGB4,DYRK1A
9606.ENSP00000200181,9606.ENSP00000349252,737,ITGB4,ITGAL
9606.ENSP00000200181,9606.ENSP00000496129,651,ITGB4,PRKCB
9606.ENSP00000200181,9606.ENSP00000251535,851,ITGB4,ALOX12
9606.ENSP00000200181,9606.ENSP00000391227,164,ITGB4,MGAT5B
9606.ENSP00000200181,9606.ENSP00000363553,292,ITGB4,LPAR1
9606.ENSP00000200181,9606.ENSP00000401303,236,ITGB4,SHC1
9606.ENSP00000200181,9606.ENSP00000361626,276,ITGB4,YBX1
9606.ENSP00000200181,9606.ENSP00000337053,292,ITGB4,SEL1L
9606.ENSP00000200181,9606.ENSP00000451300,223,ITGB4,NUMB
9606.ENSP00000200181,9606.ENSP00000420213,689,ITGB4,FLNB
9606.ENSP00000200181,9606.ENSP00000352208,388,ITGB4,MYOF
9606.ENSP00000200181,9606.ENSP00000373854,563,ITGB4,ITGAD
9606.ENSP00000200181,9606.ENSP00000349967,218,ITGB4,CCRL2
9606.ENSP00000200181,9606.ENSP00000279227,254,ITGB4,FERMT3
9606.ENSP00000200181,9606.ENSP00000496438,292,ITGB4,S1PR2
9606.ENSP00000200181,9606.ENSP00000264741,580,ITGB4,ITGA9
9606.ENSP00000200181,9606.ENSP00000358407,163,ITGB4,ADAM30
9606.ENSP00000200181,9606.ENSP00000458162,900,ITGB4,ACTG1
9606.ENSP00000200181,9606.ENSP00000359596,561,ITGB4,CLCA2
9606.ENSP00000200181,9606.ENSP00000369677,540,ITGB4,EMILIN1
9606.ENSP00000200181,9606.ENSP00000222693,650,ITGB4,CAV2
9606.ENSP00000200181,9606.ENSP00000381666,163,ITGB4,GXYLT1
9606.ENSP00000200181,9606.ENSP00000341940,671,ITGB4,CAV3
9606.ENSP00000200181,9606.ENSP00000307959,950,ITGB4,DST
9606.ENSP00000200181,9606.ENSP00000263087,563,ITGB4,ITGAE
9606.ENSP00000200181,9606.ENSP00000275493,512,ITGB4,EGFR
9606.ENSP00000200181,9606.ENSP00000494750,900,ITGB4,ACTB
9606.ENSP00000200181,9606.ENSP00000334008,650,ITGB4,PARVA
9606.ENSP00000200181,9606.ENSP00000351777,163,ITGB4,VCP
9606.ENSP00000200181,9606.ENSP00000491215,224,ITGB4,HNRNPU
9606.ENSP00000200181,9606.ENSP00000258341,499,ITGB4,LAMC1
9606.ENSP00000200181,9606.ENSP00000323856,999,ITGB4,PLEC
9606.ENSP00000200181,9606.ENSP00000367797,292,ITGB4,SKI
9606.ENSP00000200181,9606.ENSP00000323588,292,ITGB4,SOX2
9606.ENSP00000200181,9606.ENSP00000264110,161,ITGB4,ATF2
9606.ENSP00000200181,9606.ENSP00000252891,223,ITGB4,NUMBL
9606.ENSP00000200181,9606.ENSP00000377508,539,ITGB4,JUP
9606.ENSP00000200181,9606.ENSP00000408695,651,ITGB4,PRKCA
9606.ENSP00000200181,9606.ENSP00000252699,650,ITGB4,ACTN4
9606.ENSP00000200181,9606.ENSP00000431418,408,ITGB4,NTRK1
9606.ENSP00000200181,9606.ENSP00000233575,186,ITGB4,SNX17
9606.ENSP00000200181,9606.ENSP00000380948,720,ITGB4,ITGB2
9606.ENSP00000200181,9606.ENSP00000453858,163,ITGB4,PAK6
9606.ENSP00000200181,9606.ENSP00000391583,650,ITGB4,PARVG
9606.ENSP00000200181,9606.ENSP00000316029,763,ITGB4,TLN1
9606.ENSP00000200181,9606.ENSP00000367316,741,ITGB4,ITGA8
9606.ENSP00000200181,9606.ENSP00000217289,171,ITGB4,FERMT1
9606.ENSP00000200181,9606.ENSP00000481006,360,ITGB4,PLP1
9606.ENSP00000200181,9606.ENSP00000293379,751,ITGB4,ITGA5
9606.ENSP00000200181,9606.ENSP00000261475,163,ITGB4,PPP2R3C
9606.ENSP00000200181,9606.ENSP00000270257,163,ITGB4,GEMIN7
9606.ENSP00000200181,9606.ENSP00000283249,744,ITGB4,ITGB6
9606.ENSP00000200181,9606.ENSP00000341189,863,ITGB4,PTK2
9606.ENSP00000200181,9606.ENSP00000296545,341,ITGB4,IL15
9606.ENSP00000200181,9606.ENSP00000313391,165,ITGB4,DAB2
9606.ENSP00000200181,9606.ENSP00000282588,734,ITGB4,ITGA1
9606.ENSP00000200181,9606.ENSP00000307046,229,ITGB4,SDC2
9606.ENSP00000200181,9606.ENSP00000287008,177,ITGB4,PCDH1
9606.ENSP00000200181,9606.ENSP00000264318,277,ITGB4,GABRA4
9606.ENSP00000200181,9606.ENSP00000469413,163,ITGB4,PAK4
9606.ENSP00000200181,9606.ENSP00000342858,347,ITGB4,FERMT2
9606.ENSP00000200181,9606.ENSP00000252999,499,ITGB4,LAMA5
9606.ENSP00000200181,9606.ENSP00000355330,292,ITGB4,TGM2
9606.ENSP00000200181,9606.ENSP00000297591,292,ITGB4,VIRMA
9606.ENSP00000200181,9606.ENSP00000379975,435,ITGB4,ILK
9606.ENSP00000200181,9606.ENSP00000485659,703,ITGB4,MUC5AC
9606.ENSP00000200181,9606.ENSP00000006053,236,ITGB4,CX3CL1
9606.ENSP00000200181,9606.ENSP00000366208,161,ITGB4,CST11
9606.ENSP00000200181,9606.ENSP00000315190,877,ITGB4,ITGA3
9606.ENSP00000200181,9606.ENSP00000366955,161,ITGB4,KRTAP4-2
9606.ENSP00000200181,9606.ENSP00000347038,163,ITGB4,PLSCR4
9606.ENSP00000200181,9606.ENSP00000370542,771,ITGB4,SDC1
9606.ENSP00000200181,9606.ENSP00000334866,161,ITGB4,KRTAP15-1
9606.ENSP00000200181,9606.ENSP00000269571,849,ITGB4,ERBB2
9606.ENSP00000200181,9606.ENSP00000497653,969,ITGB4,COL17A1
9606.ENSP00000200181,9606.ENSP00000432586,202,ITGB4,FAT3
9606.ENSP00000200181,9606.ENSP00000384515,650,ITGB4,PARVB
9606.ENSP00000200181,9606.ENSP00000496959,563,ITGB4,ITGAM
9606.ENSP00000200181,9606.ENSP00000226218,186,ITGB4,VTN
9606.ENSP00000200181,9606.ENSP00000307156,499,ITGB4,LAMB2
9606.ENSP00000200181,9606.ENSP00000327290,734,ITGB4,ITGA11
9606.ENSP00000200181,9606.ENSP00000327145,689,ITGB4,FLNC
9606.ENSP00000200181,9606.ENSP00000363559,536,ITGB4,EIF6
9606.ENSP00000200181,9606.ENSP00000377941,650,ITGB4,ACTN1
9606.ENSP00000200181,9606.ENSP00000363079,317,ITGB4,MBL2
9606.ENSP00000200181,9606.ENSP00000404570,195,ITGB4,MYH13
9606.ENSP00000200181,9606.ENSP00000267082,720,ITGB4,ITGB7
9606.ENSP00000200181,9606.ENSP00000339191,651,ITGB4,CAV1
9606.ENSP00000200181,9606.ENSP00000475216,161,ITGB4,KPRP
9606.ENSP00000200181,9606.ENSP00000233027,292,ITGB4,NEK4
9606.ENSP00000200181,9606.ENSP00000428924,394,ITGB4,LYN
9606.ENSP00000200181,9606.ENSP00000426909,268,ITGB4,RACK1
9606.ENSP00000200181,9606.ENSP00000497069,609,ITGB4,IGF1R
9606.ENSP00000200181,9606.ENSP00000329797,449,ITGB4,CADM1
9606.ENSP00000200181,9606.ENSP00000452120,658,ITGB4,ITGA7
9606.ENSP00000200181,9606.ENSP00000222399,501,ITGB4,LAMB1
9606.ENSP00000200181,9606.ENSP00000356991,585,ITGB4,NECTIN4
9606.ENSP00000200181,9606.ENSP00000259486,292,ITGB4,ENPP2
9606.ENSP00000200181,9606.ENSP00000264144,562,ITGB4,LAMC2
9606.ENSP00000200181,9606.ENSP00000367686,163,ITGB4,PAK5
9606.ENSP00000200181,9606.ENSP00000379144,163,ITGB4,TNRC6A
9606.ENSP00000200457,9606.ENSP00000453508,232,TRIP6,TLN2
9606.ENSP00000200457,9606.ENSP00000267622,163,TRIP6,TRIP11
9606.ENSP00000200557,9606.ENSP00000313420,163,ADAM11,PRKDC
9606.ENSP00000201031,9606.ENSP00000200181,229,TFAP2C,ITGB4
9606.ENSP00000203001,9606.ENSP00000453508,424,TRMT6,TLN2
9606.ENSP00000203629,9606.ENSP00000371308,241,LAG3,CENPJ
9606.ENSP00000203664,9606.ENSP00000390436,489,OTUB2,GLI2
9606.ENSP00000204517,9606.ENSP00000381364,457,TFAP4,CABIN1
9606.ENSP00000204517,9606.ENSP00000365588,292,TFAP4,MDC1
9606.ENSP00000204566,9606.ENSP00000486901,165,SPG21,MICAL1
9606.ENSP00000205061,9606.ENSP00000435389,292,GLG1,PLEKHA7
9606.ENSP00000205143,9606.ENSP00000293879,171,DLL3,WDR90
9606.ENSP00000205402,9606.ENSP00000260197,196,DLD,SORL1
9606.ENSP00000206474,9606.ENSP00000383145,499,HAUS4,SFI1
9606.ENSP00000206474,9606.ENSP00000448012,525,HAUS4,CEP290
9606.ENSP00000206474,9606.ENSP00000371308,499,HAUS4,CENPJ
9606.ENSP00000206765,9606.ENSP00000340510,499,TGM1,PPL
9606.ENSP00000209718,9606.ENSP00000257430,161,KRT23,APC
9606.ENSP00000210060,9606.ENSP00000435389,292,DHPS,PLEKHA7
9606.ENSP00000210313,9606.ENSP00000222399,236,PSMD5,LAMB1
9606.ENSP00000210313,9606.ENSP00000269848,225,PSMD5,PFKL
9606.ENSP00000210444,9606.ENSP00000234420,175,NANS,MSH6
9606.ENSP00000211076,9606.ENSP00000293879,167,TPSD1,WDR90
9606.ENSP00000211998,9606.ENSP00000265709,423,VCL,ANK1
9606.ENSP00000211998,9606.ENSP00000453508,999,VCL,TLN2
